Reactor name,Reactor type,Estimated burnup,e. U235,SFCompo sample ref,Measurement type,Sample identifier,Item,Z,A,I,Value,Unit,Concentration,Concentration Unit,Sigma,Uncertainty
Balakovo-2,VVER-1000,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Pu239,94,239,0,6.07,mg/gUi,6.07,mg/gUi,2,0.66 %
Balakovo-2,VVER-1000,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Pu240,94,240,0,2.58,mg/gUi,2.58,mg/gUi,2,0.78 %
Balakovo-2,VVER-1000,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Pu241,94,241,0,1.7,mg/gUi,1.7,mg/gUi,2,0.59 %
Balakovo-2,VVER-1000,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,Pu242,94,242,0,0.69,mg/gUi,0.69,mg/gUi,2,1.45 %
Balakovo-2,VVER-1000,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,U235,92,235,0,10.64,mg/gUi,10.64,mg/gUi,2,0.66 %
Balakovo-2,VVER-1000,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,U236,92,236,0,6.17,mg/gUi,6.17,mg/gUi,2,0.65 %
Balakovo-2,VVER-1000,45.1 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|15,Isotopic Concentration,15,U238,92,238,0,926.55,mg/gUi,926.55,mg/gUi,2,0.01 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Burnup,31,Burnup,,,,45.8,MW*d/kgUi,,,2,1.97 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Am243,95,243,0,146,mg/kgUi,0.146,mg/gUi,2,1.37 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Cm244,96,244,0,53.9,mg/kgUi,0.0539,mg/gUi,2,0.37 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Nd148,60,148,0,0.489,mg/gUi,0.489,mg/gUi,2,1.02 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Pu236,94,236,0,1.9,mg/tUi,0.0000019,mg/gUi,2,21.05 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Pu238,94,238,0,0.303,mg/gUi,0.303,mg/gUi,2,0.99 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Pu239,94,239,0,6.19,mg/gUi,6.19,mg/gUi,2,0.81 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Pu240,94,240,0,2.65,mg/gUi,2.65,mg/gUi,2,0.75 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Pu241,94,241,0,1.7,mg/gUi,1.7,mg/gUi,2,1.76 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,Pu242,94,242,0,0.7,mg/gUi,0.7,mg/gUi,2,1.29 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,U234,92,234,0,0.226,mg/gUi,0.226,mg/gUi,2,0.88 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,U235,92,235,0,10.66,mg/gUi,10.66,mg/gUi,2,0.75 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,U236,92,236,0,6,mg/gUi,6,mg/gUi,2,1.17 %
Balakovo-2,VVER-1000,45.8 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|31,Isotopic Concentration,31,U238,92,238,0,925,mg/gUi,925,mg/gUi,2,0.02 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Burnup,6,Burnup,,,,46.7,MW*d/kgUi,,,2,1.5 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Am241,95,241,0,0.066,mg/gUi,0.066,mg/gUi,2,3.03 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Am243,95,243,0,0.157,mg/gUi,0.157,mg/gUi,2,2.55 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Cm242,96,242,0,0.024,mg/gUi,0.024,mg/gUi,2,8.33 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Cm244,96,244,0,0.059,mg/gUi,0.059,mg/gUi,2,8.47 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Nd142,60,142,0,0.034,mg/gUi,0.034,mg/gUi,2,2.94 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Nd143,60,143,0,1.07,mg/gUi,1.07,mg/gUi,2,0.75 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Nd144,60,144,0,1.821,mg/gUi,1.821,mg/gUi,2,0.66 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Nd145,60,145,0,0.912,mg/gUi,0.912,mg/gUi,2,0.88 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Nd146,60,146,0,0.975,mg/gUi,0.975,mg/gUi,2,0.82 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Pu238,94,238,0,0.31,mg/gUi,0.31,mg/gUi,2,6.45 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Pu239,94,239,0,6.1,mg/gUi,6.1,mg/gUi,2,0.82 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Pu240,94,240,0,2.67,mg/gUi,2.67,mg/gUi,2,0.75 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Pu241,94,241,0,1.76,mg/gUi,1.76,mg/gUi,2,1.14 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,Pu242,94,242,0,0.72,mg/gUi,0.72,mg/gUi,2,2.78 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,U235,92,235,0,10.27,mg/gUi,10.27,mg/gUi,2,0.68 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,U236,92,236,0,6.11,mg/gUi,6.11,mg/gUi,2,0.82 %
Balakovo-2,VVER-1000,46.7 GW*d/tHMi,4.4 wt%,BAL-2|1476|42|6,Isotopic Concentration,6,U238,92,238,0,925.18,mg/gUi,925.18,mg/gUi,2,0.01 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Burnup,912,Burnup,,,,46.2,MW*d/kgUi,,,2,1.52 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Am241,95,241,0,0.054,g/kgUi,0.054,mg/gUi,2,3.7 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Am243,95,243,0,0.151,g/kgUi,0.151,mg/gUi,2,2.65 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Cm242,96,242,0,0.021,g/kgUi,0.021,mg/gUi,2,9.52 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Cm244,96,244,0,0.059,g/kgUi,0.059,mg/gUi,2,8.47 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Nd142,60,142,0,0.034,g/kgUi,0.034,mg/gUi,2,2.94 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Nd143,60,143,0,1.056,g/kgUi,1.056,mg/gUi,2,0.76 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Nd144,60,144,0,1.797,g/kgUi,1.797,mg/gUi,2,0.56 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Nd145,60,145,0,0.899,g/kgUi,0.899,mg/gUi,2,0.78 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Nd146,60,146,0,0.961,g/kgUi,0.961,mg/gUi,2,0.83 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Pu238,94,238,0,0.32,g/kgUi,0.32,mg/gUi,2,3.13 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Pu239,94,239,0,6.26,g/kgUi,6.26,mg/gUi,2,0.8 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Pu240,94,240,0,2.62,g/kgUi,2.62,mg/gUi,2,0.76 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Pu241,94,241,0,1.76,g/kgUi,1.76,mg/gUi,2,1.14 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,Pu242,94,242,0,0.75,g/kgUi,0.75,mg/gUi,2,1.33 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,U235,92,235,0,10.18,g/kgUi,10.18,mg/gUi,2,0.69 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,U236,92,236,0,6.15,g/kgUi,6.15,mg/gUi,2,0.65 %
Balakovo-3,VVER-1000,46.2 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|912,Isotopic Concentration,912,U238,92,238,0,925.48,g/kgUi,925.48,mg/gUi,2,0.01 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Burnup,581,Burnup,,,,47.9,MW*d/kgUi,,,2,1.46 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Am241,95,241,0,0.071,g/kgUi,0.071,mg/gUi,2,2.82 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Am243,95,243,0,0.192,g/kgUi,0.192,mg/gUi,2,2.6 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Cm242,96,242,0,0.023,g/kgUi,0.023,mg/gUi,2,8.7 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Cm244,96,244,0,0.079,g/kgUi,0.079,mg/gUi,2,8.86 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Nd142,60,142,0,0.037,g/kgUi,0.037,mg/gUi,2,2.7 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Nd143,60,143,0,1.099,g/kgUi,1.099,mg/gUi,2,0.82 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Nd144,60,144,0,1.938,g/kgUi,1.938,mg/gUi,2,0.52 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Nd145,60,145,0,0.922,g/kgUi,0.922,mg/gUi,2,0.76 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Nd146,60,146,0,1.007,g/kgUi,1.007,mg/gUi,2,0.79 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Pu238,94,238,0,0.33,g/kgUi,0.33,mg/gUi,2,6.06 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Pu239,94,239,0,6.08,g/kgUi,6.08,mg/gUi,2,0.82 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Pu240,94,240,0,2.68,g/kgUi,2.68,mg/gUi,2,0.75 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Pu241,94,241,0,1.76,g/kgUi,1.76,mg/gUi,2,0.57 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,Pu242,94,242,0,0.88,g/kgUi,0.88,mg/gUi,2,1.14 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,U235,92,235,0,8.18,g/kgUi,8.18,mg/gUi,2,0.73 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,U236,92,236,0,6.34,g/kgUi,6.34,mg/gUi,2,0.79 %
Balakovo-3,VVER-1000,47.9 GW*d/tHMi,4.4 wt%,BAL-3|1591|23|581,Isotopic Concentration,581,U238,92,238,0,925.66,g/kgUi,925.66,mg/gUi,2,0.01 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Ce144,58,144,0,536600000,Bq/gUi,0.004554,mg/gUi,1,4.97 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Ce144,58,144,0,544000000,Bq/gUf,,,1,4.96 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Cs134,55,134,0,203500000,Bq/gUi,0.004254,mg/gUi,,
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Cs137,55,137,0,866000000,Bq/gUi,0.2696,mg/gUi,1,5.02 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Cs137,55,137,0,878000000,Bq/gUf,,,1,5.01 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Nb95,41,95,0,3975000,Bq/gUi,0.000002732,mg/gUi,1,4.97 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Nb95,41,95,0,4030000,Bq/gUf,,,1,4.96 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Pr144,59,144,0,541500000,Bq/gUi,1.936E-7,mg/gUi,1,5.11 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Pr144,59,144,0,549000000,Bq/gUf,,,1,5.1 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Zr95,40,95,0,14990000,Bq/gUi,0.00001885,mg/gUi,1,0.71 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity,D,Zr95,40,95,0,15200000,Bq/gUf,,,1,0.66 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Activity Ratio,D,Cs134/Cs137,55,134,0,0.235,Bq/Bq,,,,
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Am241,95,241,0,0.00007536,g/gUi,0.07536,mg/gUi,1,3.54 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Am241,95,241,0,0.0000764,g/gUf,,,1,3.53 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Am243,95,243,0,0.000007891,g/gUi,0.007891,mg/gUi,1,50 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Am243,95,243,0,0.000008,g/gUf,,,1,50 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Cm242,96,242,0,1.549E-7,g/gUi,0.0001549,mg/gUi,1,1.93 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Cm242,96,242,0,1.57E-7,g/gUf,,,1,1.91 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Cm244,96,244,0,0.000001193,g/gUi,0.001193,mg/gUi,1,2.49 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Cm244,96,244,0,0.00000121,g/gUf,,,1,2.48 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd142,60,142,0,0.000004932,g/gUi,0.004932,mg/gUi,1,1.03 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd142,60,142,0,0.000005,g/gUf,,,1,1 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd143,60,143,0,0.000214,g/gUi,0.214,mg/gUi,1,0.96 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd143,60,143,0,0.000217,g/gUf,,,1,0.92 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd144,60,144,0,0.0003432,g/gUi,0.3432,mg/gUi,1,0.9 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd144,60,144,0,0.000348,g/gUf,,,1,0.86 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd145,60,145,0,0.0001795,g/gUi,0.1795,mg/gUi,1,1.13 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd145,60,145,0,0.000182,g/gUf,,,1,1.1 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd146,60,146,0,0.0001746,g/gUi,0.1746,mg/gUi,1,1.05 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd146,60,146,0,0.000177,g/gUf,,,1,1.02 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd148,60,148,0,0.00009962,g/gUi,0.09962,mg/gUi,1,1.03 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd148,60,148,0,0.000101,g/gUf,,,1,0.99 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd150,60,150,0,0.0000503,g/gUi,0.0503,mg/gUi,1,1.02 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Nd150,60,150,0,0.000051,g/gUf,,,1,0.98 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu,94,0,0,0.00404,g/gUf,,,1,0.99 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu238,94,238,0,0.00002841,g/gUi,0.02841,mg/gUi,1,2.45 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu238,94,238,0,0.0000288,g/gUf,,,1,2.43 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu238,94,238,0,0.00002969,g/gUi,0.02969,mg/gUi,1,4.13 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu238,94,238,0,0.0075,mol/molPuf,,,1,4 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu239,94,239,0,0.002262,g/gUi,2.262,mg/gUi,1,1.05 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu239,94,239,0,0.5691,mol/molPuf,,,1,0.19 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu240,94,240,0,0.001323,g/gUi,1.323,mg/gUi,1,1.06 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu240,94,240,0,0.3313,mol/molPuf,,,1,0.21 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu241,94,241,0,0.0002574,g/gUi,0.2574,mg/gUi,1,1.14 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu241,94,241,0,0.0642,mol/molPuf,,,1,0.47 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu242,94,242,0,0.0001127,g/gUi,0.1127,mg/gUi,1,1.49 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,Pu242,94,242,0,0.028,mol/molPuf,,,1,1.07 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,U235,92,235,0,0.001948,g/gUi,1.948,mg/gUi,1,5.01 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,U235,92,235,0,0.002,mol/molUf,,,1,5 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,U236,92,236,0,0.0007825,g/gUi,0.7825,mg/gUi,1,12.5 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,U236,92,236,0,0.0008,mol/molUf,,,1,12.5 %
Bradwell-1,MAGNOX,8.932 GW*d/tUi,0.71097 wt%,BRD-1|4|D|D,Isotopic Concentration,D,U238,92,238,0,0.9835,g/gUi,983.5,mg/gUi,1,0.38 %
